역명,3월비율,6월비율,9월비율,12월비율,연간비율
가락시장,3.2280613567282694,3.1156632084936553,3.3435106377831216,3.3171054136848395,3.2474084611164122
가산디지털단지,1.7352316192095198,1.8864594284391547,1.7744850650078745,1.7611591036026304,1.7912926910852531
강남,1.1814641609970735,1.109374669645437,1.2401141092239079,1.3815650436442115,1.2148149025586505
강남구청,1.3297740867072025,1.4451136111369707,1.3146697877309705,1.3529679002787658,1.3626398184431268
강동,2.8030626579054343,2.837219275674351,2.7004006514332533,2.7082728734942427,2.7643180602516657
강동구청,2.900790166812994,3.0730780610099813,2.843443730990199,2.738875273012221,2.892297193835092
강변,1.7765340943989967,1.7310176319687827,1.8515985373358699,1.966443349815009,1.8224828141201654
개롱,2.9737672798519648,3.1210494035772847,3.2526156795939056,2.994345502488825,3.08821113727208
개화산,4.68958448573195,5.316437080249032,5.058399624014343,4.746664780613734,4.954841708303844
거여,4.0398751120914795,4.010800251481947,4.2058963385639565,4.109094193082272,4.091357312072345
건대입구,1.714550193162294,1.748457375194414,1.8086452102571515,1.9385903290012878,1.7962271303703512
경복궁,1.9545162931663829,1.8901037003409038,1.9602139761431938,2.036803432525642,1.9551055487466882
경찰병원,2.726363498252899,2.733511867789465,2.867079532627597,2.7316163761173393,2.7635801298588665
고덕,3.06146705908988,3.1486552167196815,3.1467302756982973,3.130707299940563,3.1234526986256332
고려대,2.868787616052047,2.71179612258342,2.597088238419667,2.777812402617638,2.735576794207785
고속터미널,1.4586090392352409,1.3473395389850389,1.3953854167203865,1.4994543554238562,1.418811642780244
공덕,2.0121465206542832,2.0851749981205296,1.917035808836592,1.9970650257854188,2.0052049156986893
공릉,3.2942245156562495,3.68381707895698,3.597240661598442,3.5739878530619915,3.541286235619823
광나루,2.1751380592809646,2.133997870704045,2.160772910608761,2.0325911471944433,2.1261542906460322
광명사거리,3.352567646426487,3.620550448319334,3.638304545679651,3.561301068158992,3.545813248780506
광화문,1.6294225750158293,1.7108412833834137,1.6780162722611325,1.7622632973566859,1.6953400822774545
광흥창,2.048068621717214,2.3087703769270487,2.1912831601014147,2.1670053782154204,2.1830154001813686
교대,1.9315238879241452,1.9466723045349201,1.9547245928332166,2.0046151390514124,1.9580803049750004
구로디지털단지,1.9492497021678592,1.8181016913212564,1.8711671145544042,1.865395300704902,1.873661728137789
구산,4.234409939976798,4.575177968998469,4.373610676425034,4.294785697823202,4.374898306631796
구의,2.5417463784064425,2.571846639484414,2.614594850117398,2.778049075871876,2.6233535870415707
구파발,2.798334586306543,2.714325763947295,2.9430968590179276,2.8991988250689613,2.833086058333315
군자,2.771983229529474,2.9107862685317927,2.772379841948439,2.737315883371157,2.8005925135362664
굴포천,2.563865505328208,2.8013995193283816,2.635802741823858,2.6374485047205036,2.660850573288486
굽은다리,3.445970018361698,3.5722612108956824,3.485025242362339,3.525253136471822,3.509398154793586
금호,2.570651433176692,2.28405008648345,2.56571824644414,2.552077844521727,2.483916809496648
길동,4.0107267744069555,4.207915600486597,4.08206253914933,4.045588098507936,4.089333963886976
길음,2.6816879709202954,2.59836446764819,2.775327657242083,2.731556886508611,2.6919038795625063
김포공항,1.4062749874956193,1.286369667183675,1.2864754296965664,1.3740099429779349,1.332362674610039
까치산,3.2010580765411065,3.3415589645956136,3.213387124761409,3.098000709769516,3.2161453364003676
까치울,2.3771010619593502,2.504621657576927,2.35792923222284,2.401226895225374,2.4117575647212357
낙성대,1.9488307184843743,1.917261580477865,1.9535729037587775,2.1082881789860064,1.9784337570335195
남구로,2.1448959725453314,2.4457946913975057,2.405322940437425,2.3927501505646496,2.35063496789899
남부터미널,1.6019872835959688,1.6330435495356117,1.7653704705329898,1.7757102359373445,1.6912825640771554
남성,2.7183947776017923,2.883481490477851,2.849069342913586,2.794764646927925,2.813759167652716
남태령,3.844559585492228,2.9533796016898006,3.132448076268301,2.962484426191685,3.1908462392420227
남한산성입구,3.553988480201789,3.5964428288598227,3.707111682378509,3.5873041734997115,3.6117449420878125
내방,1.7436009555563414,1.8226402981923966,1.7395360619325502,1.7980789295628585,1.7769497751823873
노원,2.9611238184937267,3.100111069576773,3.183393307196112,3.2660594766032087,3.124184912643173
녹번,2.999136224306495,2.8408056233383108,2.857526972070043,2.7606054146237478,2.859582127716843
녹사평,1.9352597714077775,2.2867965062045963,1.9797252626166164,2.21646728246852,2.095166996656821
논현,1.3312742957558976,1.372383756407127,1.378260721695065,1.3868881168262577,1.366913027302755
단대오거리,4.044923259909879,4.306672171126272,4.302692527728053,4.238452832222482,4.224620250045915
답십리,2.843190892476748,3.0639970241464636,2.9775594474463243,2.893041611049852,2.9467107455472172
당고개,4.286141197393548,4.257214220509179,4.252332944062911,4.252586996680835,4.261912452353271
당산,1.064461476031849,1.0183517851057509,1.0470867270955524,1.0474831526658464,1.0430020471114625
대림,2.5772475116427724,2.472558560597488,2.3820249476686537,2.4741744945486714,2.472765791803019
대청,3.3830697139189945,3.3070585388837244,3.3552590299709286,3.3429219653027755,3.3443840073743525
대치,1.6636609558160504,1.5536944413075076,1.7629832719257097,1.8777122900974201,1.7048216208590459
대흥,2.5757010418759507,2.7583466223755204,2.5886897299495137,2.706008345086289,2.6597943597159954
도곡,1.716053653099658,1.5065207084680758,1.5753265026025256,1.6416946182506882,1.6015199151479114
도림천,3.158195929754283,3.1790488840123583,3.294691885295912,2.956607616813777,3.145835810837595
도봉산,2.9670689254132645,3.0368353916209996,2.947712243313432,2.931985851440121,2.972668019636922
독립문,4.428886091881687,4.0331998456287375,4.11948585020375,4.097575538941895,4.158314133513347
독바위,3.382445680215559,3.737934139268832,3.5969262630116083,3.410602182213388,3.536830434481325
돌곶이,3.9004127966976263,3.679355169361226,3.564921041975975,3.35615257564551,3.6328509982834354
동대문,4.655784043530493,4.49540777741837,4.444897679866999,4.580085632758129,4.539777715094653
동대문역사문화공원,2.5508150933432585,2.4624685058500013,2.466725367839414,2.5716748904011593,2.5098531328729776
동대입구,2.1124725956390953,2.0659058460536026,2.141944278776519,1.9919693650452377,2.0780184103704573
동묘앞,6.468064883252667,6.381464677831931,6.5401652709325475,6.360476821451577,6.436689309712462
동작,1.4626026687041231,1.4937688499402493,1.5498168075725451,1.5855028280316097,1.5197725957093857
둔촌동,3.1171019376579614,3.394340954760224,3.215101729953215,3.264509835799057,3.25288084557489
뚝섬,1.8985315439690524,1.8304001162389436,1.8801533975792868,2.033094294240791,1.9057563156973027
뚝섬유원지,2.1197126028277924,2.42098184263618,2.3791623834583775,2.477857918162609,2.3401146729855493
마곡,3.0277688958850875,3.087319954770736,3.0111047835990887,2.9422657721529704,3.016804097778343
마들,3.7066680609573144,3.914226995443853,3.66204977749475,3.588905171082322,3.7201732784839554
마장,3.5587219418450644,3.94273127753304,3.7398452533352655,3.714726631393298,3.7437755013635106
마천,4.862793089088885,5.176280008099655,4.863390020556905,4.613412754860123,4.878607200644915
마포,2.1869638392784196,2.2727007979497933,2.1383574352686248,2.1995857728920223,2.201467433135838
마포구청,3.9346650173109157,4.110371330865409,4.0038866419986805,3.969492790982951,4.006637944677311
망원,2.639719708501463,2.9421191454482405,2.8763255422958656,2.9937278966889704,2.863015136982025
매봉,1.8877101655032797,1.789327750509386,1.821619050003756,1.8907623105867164,1.8444425299676832
먹골,3.3502690173924923,3.624346908839187,3.5576285423758787,3.5241708416502533,3.515950956147062
면목,3.7507727044510677,3.8920557194397856,3.6118244592820865,3.5851175368538053,3.7125194968935715
명동,1.9959667528228857,1.900383791521054,1.969772613806563,1.9909896059972014,1.9601016250995955
명일,3.4427988075553104,3.4233748477510484,3.267001524991735,3.3805976991656372,3.378031254295097
모란,5.942611814575295,5.835249256995458,6.210551967832338,5.916950484673827,5.9751727229987015
목동,2.4206019961804515,2.6013109249700843,2.4572122639773273,2.3837219527024143,2.4694829348884983
