순위,역코드,역명,인원(명/일)
1,222,강남,142179
2,216,잠실(2),110968
3,230,신림,106360
4,232,구로디지털단지,98132
5,239,홍대입구,95082
6,234,신도림,83017
7,219,삼성,81818
8,220,선릉,81651
9,228,서울대입구,79393
10,221,역삼,79026
11,329,고속터미널(3),72852
12,150,서울역(1),69015
13,2748,가산디지털단지(7),68480
14,226,사당(2),66028
15,202,을지로입구,63339
16,311,연신내(3),62823
17,332,양재,62468
18,212,건대입구(2),62438
19,240,신촌,58090
20,414,수유,57745
21,152,종각,57265
22,223,교대(2),56983
23,214,강변,56036
24,211,성수,53231
25,326,압구정,52519
26,238,합정(2),52484
27,420,혜화,52183
28,327,신사,50859
29,2534,광화문,49481
30,331,남부터미널,48362
31,413,쌍문,47755
32,2519,까치산(5),47311
33,416,미아사거리,46854
34,412,창동,45644
35,2518,화곡,45181
36,227,낙성대,45069
37,231,신대방,43973
38,153,종로3가(1),43033
39,233,대림(2),42940
40,423,충무로(4),42567
41,2527,여의도(5),39466
42,433,사당(4),38963
43,229,봉천,38797
44,2750,광명사거리,38754
45,425,회현,38521
46,213,구의,38305
47,2522,오목교,38010
48,2733,학동,37313
49,154,종로5가,36761
50,2749,철산,36423
51,236,영등포구청(2),36349
52,158,청량리,35927
53,201,시청(2),35294
54,411,노원(4),35060
55,217,잠실새내,34170
56,237,당산,33886
57,224,서초,33638
58,432,이수(총신대입구),33617
59,2715,노원(7),33553
60,421,동대문(4),33509
61,310,구파발,33461
62,151,시청(1),33415
63,424,명동,33362
64,235,문래,33279
65,2734,논현,33177
66,210,뚝섬,33145
67,418,성신여대입구,32875
68,2731,청담,32646
69,203,을지로3가(2),32599
70,2819,문정,32577
71,417,길음,32425
72,318,안국,31694
73,2549,강동,31368
74,2548,천호(5),31058
75,410,상계,30987
76,2516,발산,30456
77,317,경복궁,30418
78,157,제기동,29643
79,2544,장한평,29358
80,2812,천호(8),29068
81,2521,목동,28928
82,2811,암사,28773
83,312,불광(3),28724
84,2611,응암,28651
85,2627,공덕(6),28319
86,314,홍제,28238
87,2717,하계,28159
88,339,수서,27756
89,2820,장지,27716
90,2722,상봉(7),27639
91,225,방배,27504
92,2533,서대문,27132
93,2724,사가정,26572
94,2743,신대방삼거리,26361
95,2732,강남구청,26268
96,2747,남구로,26182
