순위,역명,환승유입인원(명/일)
1,강남,29135
2,홍대입구,27487
3,종각,24259
4,서울역(1),23236
5,구로디지털단지,22956
6,신림,21925
7,양재,21718
8,신도림,21571
9,역삼,19976
10,잠실(2),19540
11,신사,18818
12,고속터미널(3),18743
13,가산디지털단지(7),18507
14,압구정,18179
15,삼성,18063
16,남부터미널,17451
17,을지로입구,16778
18,혜화,16532
19,선릉,16306
20,성수,15993
21,서울대입구,15792
22,신촌,15176
23,종로5가,15011
24,수유,14924
25,연신내(3),14909
26,시청(1),13133
27,창동,13026
28,까치산(5),12920
29,회현,12821
30,이수(총신대입구),12813
31,청량리,12793
32,합정(2),12771
33,종로3가(1),12551
34,광화문,12230
35,문정,12026
36,쌍문,11865
37,미아사거리,11575
38,사당(2),11532
39,교대(2),11253
40,제기동,11128
41,충무로(4),11059
42,건대입구(2),10966
43,명동,10790
44,봉은사,10309
45,화곡,10248
46,강변,10223
47,오목교,10063
48,여의도(5),9971
49,철산,9855
50,안국,9739
51,구파발,9563
52,뚝섬,9555
53,신대방,9488
54,장한평,9419
55,시청(2),9407
56,동대문(4),9390
57,사당(4),9388
58,광명사거리,9284
59,낙성대,9169
60,장지,9049
61,강동,9033
62,암사,9004
63,문래,8998
64,학동,8769
65,경복궁,8600
66,응암,8563
67,길음,8433
68,을지로3가(2),8419
69,성신여대입구,8137
70,대림(2),8125
71,영등포구청(2),8050
72,서울역(4),8013
73,목동,7640
74,천호(8),7610
75,구의,7601
76,신용산,7601
77,신설동(1),7526
78,망원,7454
79,홍제,7452
80,봉천,7451
81,서대문,7450
82,당산,7303
83,하계,7290
84,불광(3),7135
85,석계(6),7123
86,수서,7101
87,상계,7101
88,서초,7058
89,답십리,6994
90,천호(5),6906
91,마포,6844
92,사가정,6844
93,청담,6755
94,발산,6748
95,잠실새내,6743
96,상일동,6732
97,디지털미디어시티(6),6710
98,면목,6681
99,공덕(6),6620
100,동대문(1),6598
101,노원(7),6561
102,한성대입구,6456
103,상봉(7),6447
104,아차산,6435
105,선정릉,6368
106,논현,6302
107,남한산성입구,6286
108,노원(4),6265
109,이태원,6245
110,언주,6170
111,매봉,6144
112,미아,6031
113,월곡,6029
114,숙대입구,5959
115,새절,5925
116,중계,5855
117,잠실(8),5739
118,강동구청,5681
119,이수(7),5680
120,복정(8),5678
121,종로3가(3),5636
122,마포구청,5636
123,수락산,5635
124,남구로,5634
125,안암,5588
126,공덕(5),5582
127,신중동,5479
128,이대,5471
129,동묘앞(1),5425
130,상왕십리,5418
131,신당(2),5306
132,신대방삼거리,5285
133,녹번,5207
134,방배,5201
135,공릉,5199
136,마들,5148
137,우장산,5123
138,약수(3),5119
139,중앙보훈병원,5098
140,내방,5080
141,화랑대,4962
142,미사,4936
143,단대오거리,4910
144,어린이대공원,4907
145,상동,4894
146,잠실나루,4850
147,강남구청,4838
148,증산,4820
149,왕십리(2),4819
150,대치,4684
151,상수,4663
152,동대입구,4662
153,부천시청,4649
154,광나루,4648
155,봉화산,4610
156,송파,4476
157,신정네거리,4474
158,돌곶이,4450
159,석촌(8),4443
160,옥수,4397
161,일원,4321
162,여의나루,4305
163,중곡,4277
164,도봉산(7),4267
165,을지로4가(2),4259
166,삼성중앙,4243
167,이촌,4242
168,중화,4217
169,먹골,4203
170,교대(3),4201
171,고속터미널(7),4198
172,숭실대입구,4139
173,남성,4137
174,신정,4135
175,군자(5),4130
176,동묘앞(6),4101
177,한강진,4053
178,종로3가(5),4009
179,석촌(9),3993
180,고려대,3964
181,경찰병원,3915
182,동대문역사문화공원(4),3899
183,둔촌동,3889
184,굽은다리,3878
185,대청,3855
186,당고개,3785
187,건대입구(7),3744
188,가락시장(8),3722
189,삼전,3697
190,신풍,3690
191,동대문역사문화공원(2),3668
192,군자(7),3639
193,명일,3627
194,길동,3576
195,고덕,3575
196,대흥,3567
197,을지로3가(3),3526
198,올림픽공원(9),3493
199,한양대,3477
200,뚝섬유원지,3468
201,충정로(2),3432
202,가락시장(3),3395
203,아현,3384
204,금호,3345
205,광흥창,3337
206,석촌고분,3323
207,상도,3291
208,행당,3288
209,천왕,3256
210,굴포천,3249
211,거여,3211
212,보라매,3200
213,양천구청,3140
214,장승배기,3138
215,합정(6),3129
216,영등포시장,3101
217,신당(6),3099
218,독립문,3088
219,애오개,3073
220,보문,3059
221,춘의,3050
222,상월곡,3008
223,몽촌토성,2936
224,방이,2917
225,산성,2880
226,신금호,2855
227,효창공원앞,2833
228,마곡,2797
229,구산,2748
230,양평(5),2735
231,종합운동장(9),2719
232,종합운동장(2),2698
233,개롱,2693
234,송파나루,2669
235,용마산,2667
236,마천,2655
237,방화,2521
238,잠원,2474
239,도곡,2467
240,태릉입구(6),2456
241,태릉입구(7),2456
242,녹사평,2454
243,대림(7),2409
244,신흥,2312
245,마장,2208
246,수진,2197
247,부평구청(7),2186
248,삼각지(4),2106
249,까치울,2097
250,온수(7),2077
251,김포공항(5),2045
252,월드컵경기장,2026
253,오금(3),2007
254,개화산,1997
255,역촌,1961
256,송정,1926
257,하남풍산,1744
258,무악재,1717
259,충정로(5),1667
260,반포,1636
261,삼산체육관,1619
262,약수(6),1583
263,창신,1544
264,불광(6),1541
265,신설동(2),1506
266,지축,1472
267,올림픽공원(5),1423
268,삼각지(6),1409
269,동작,1407
270,독바위,1392
271,청구(6),1373
272,신길(5),1266
273,청구(5),1232
274,부천종합운동장,1206
275,을지로4가(5),1156
276,한성백제,1126
277,버티고개,1116
278,동대문역사문화공원(5),1020
