호선,역번호,역      명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,150,서울역(1),1080107,980083,1110480,1135589,1170811,1082271,1122759,1111107,1055741,1176349,1146727,1141511
1,151,시청(1),585801,473770,589151,616588,635892,580546,605100,600793,554908,724150,644369,653092
1,152,종각,1122367,928865,1081793,1084400,1111780,1018625,1135108,1089709,977075,1145976,1087385,1175714
1,153,종로3가(1),630644,529755,607172,585574,618428,575966,620168,582424,533411,609913,573349,617310
1,154,종로5가,681457,578239,693778,682805,699693,635665,650339,626596,598241,699995,671584,701633
1,155,동대문(1),298766,277220,335258,325601,344608,318105,311992,295345,301254,332778,306995,321960
1,156,신설동(1),300755,255773,318019,315056,320233,296672,310465,287482,285705,319339,306128,302568
1,157,제기동,520463,392923,480790,489970,494348,467484,467888,459536,463118,500149,468483,468731
1,158,청량리,594437,509808,610193,583770,596926,553633,540020,541688,543713,581612,559000,560652
1,159,동묘앞(1),218815,221874,262665,243807,263133,237839,211600,210679,221608,253542,232052,225657
2,201,시청(2),373779,300202,365265,392678,388877,355050,395305,368326,332297,395571,380491,383632
2,202,을지로입구,756500,621039,741345,756502,761807,711887,779023,751000,700977,777701,769787,818311
2,203,을지로3가(2),341496,275132,331219,340212,347414,320307,355945,332083,310063,349226,341824,352782
2,204,을지로4가(2),149650,119061,141745,142813,148832,141030,151741,145828,136871,168200,163043,165643
2,205,동대문역사문화공원(2),173504,159678,200088,190132,214705,191172,193181,196601,172377,206894,192386,201020
2,206,신당(2),210383,180378,222199,217550,221282,204501,208170,198998,195261,217832,211447,218341
2,207,상왕십리,212844,179030,217507,218692,221324,205139,217983,204561,198176,217931,217140,218552
2,208,왕십리(2),205617,180470,221704,212275,226468,202727,209397,200959,193384,211031,213116,216823
2,209,한양대,145721,116819,274738,278489,277976,217000,157320,134733,242514,258850,264948,213103
2,210,뚝섬,309499,256170,317042,335660,354664,317244,342222,321734,312915,354202,343872,337135
2,211,성수,529132,434345,525041,549768,552143,505098,557197,510251,490566,557047,551698,559143
2,212,건대입구(2),488484,438019,533315,502452,544997,486229,492163,485113,465779,508878,511623,527082
2,213,구의,296506,250601,299527,299840,304315,277318,290262,273501,268470,298013,293930,299807
2,214,강변,491484,471592,524224,508243,548795,500461,500003,517774,497041,528455,523891,514205
2,215,잠실나루,217931,181153,207344,230280,230538,206042,218539,199988,195503,222949,213698,214847
2,216,잠실(2),927347,854981,918551,1036682,1014734,884632,947297,950449,850329,1015325,968815,1043096
2,217,잠실새내,300504,254434,305786,310025,322519,288981,294785,284399,272124,304486,294603,304208
2,218,종합운동장(2),140860,117343,219654,230693,298999,237274,218268,224838,204822,319722,156707,163307
2,219,삼성,812567,662439,793188,815332,860360,764001,892975,804604,699070,805681,839124,922374
2,220,선릉,644941,506659,606550,634679,633579,586086,660765,602996,563256,632976,636820,640630
2,221,역삼,808460,638096,758998,778575,764772,708035,824805,754186,695969,774114,775443,788145
2,222,강남,1403994,1158833,1276232,1227741,1272566,1203052,1405351,1321480,1123018,1231918,1237595,1321992
2,223,교대(2),454526,366686,461973,470344,470435,429802,468584,430441,435289,514874,471279,471666
2,224,서초,294313,240844,298765,303563,301701,290019,300033,279436,310426,377470,310950,316896
2,225,방배,211962,178540,274493,278910,274929,233072,205708,205170,238752,269057,262332,245889
2,226,사당(2),512253,431899,531991,523466,532046,507400,501429,482384,469722,527975,521865,556184
2,227,낙성대,366870,310119,390651,389074,399830,361474,368139,349503,351873,387654,379459,380506
2,228,서울대입구,636679,541172,673594,659634,683502,618868,645099,615160,599464,656770,648189,640080
2,229,봉천,282610,239363,289601,290854,294882,279932,289430,275960,268905,296725,288766,293108
2,230,신림,891341,771636,915756,907362,930185,864385,885460,854253,821616,900401,879791,899512
2,231,신대방,364861,318126,381598,390615,400257,369608,378075,361999,357433,395194,379038,378999
2,232,구로디지털단지,907695,757801,902141,921821,928913,859691,929130,864317,824597,909880,905729,918778
2,233,대림(2),339888,296633,362756,364606,371298,348509,352681,332607,331463,366221,351078,354463
2,234,신도림,944302,804589,992268,975216,994842,932925,937303,906186,894812,1002398,971934,995300
2,235,문래,322175,268723,321945,330871,328520,304916,332622,308049,298043,343402,339233,342484
2,236,영등포구청(2),290715,240604,295788,302782,302785,276941,297302,274046,270908,308101,307283,305610
2,237,당산,284299,240521,304185,322489,323329,292567,302610,285493,285760,318523,303871,297014
2,238,합정(2),517010,444319,523125,517201,541147,503386,521928,514786,482186,544447,533746,553238
2,239,홍대입구,1478750,1366549,1527293,1414699,1564538,1419725,1465472,1506870,1326993,1503206,1441434,1601595
2,240,신촌,753926,652814,814712,760412,815348,721008,765081,725115,707142,770548,773390,782976
2,241,이대,285086,251740,390349,373500,386228,316960,301939,287236,326457,362826,359177,317918
2,242,아현,128959,111293,149130,149672,153854,135925,135550,128920,134931,147332,144819,138784
2,243,충정로(2),142944,117996,146480,148890,147472,136376,142940,135948,133337,148864,149443,142924
2,244,용답,22960,19924,34275,32919,33701,28159,23955,22812,29366,30470,30367,27796
2,245,신답,11946,10280,12829,12267,12559,11520,11943,11102,11261,12142,11904,11877
2,246,신설동(2),74126,63090,74571,69743,69445,65572,65759,62212,58310,64570,65762,67629
2,247,도림천,22617,18966,24119,25322,24041,21821,24509,22417,22006,24037,23999,23614
2,248,양천구청,122306,105340,132737,137797,140705,127073,129382,119886,124514,138591,136142,134021
2,249,신정네거리,166249,144777,179448,187656,194311,176734,179770,171757,170873,187855,182002,181332
2,250,용두,26231,22230,26761,25862,26396,25288,26510,25531,24112,26334,25950,27258
3,309,지축,22495,19446,25137,27452,28039,26053,26583,23676,25050,30767,28342,32426
3,310,구파발,330482,289250,357907,377931,405119,373182,387432,381678,364931,411772,396107,397508
3,311,연신내(3),599731,522016,622879,615571,639039,586595,603785,583010,562056,618222,601564,620240
3,312,불광(3),296969,259366,321213,317003,327382,300844,303420,289251,285424,316920,304541,300464
3,313,녹번,180692,155961,201616,203439,209392,188779,194079,182905,183492,207347,202457,201803
3,314,홍제,297485,256192,334802,336750,341459,303420,300348,287372,297862,329501,318393,310037
3,315,무악재,63461,54968,71141,72705,73802,66466,67628,64250,65461,73068,70757,70368
3,316,독립문,124768,114232,168215,152394,161905,137197,130780,141371,135859,152582,138830,136192
3,317,경복궁,431270,369796,465892,496749,535979,450599,434826,434655,466715,595373,525283,481585
3,318,안국,438656,380773,491808,517372,525471,460894,476158,477643,463438,575639,555572,530718
