사용일자,노선명,역명,하차총승객수
202001,1호선,종각,16301
202001,1호선,시청,10516
202001,1호선,서울역,29895
202001,1호선,동묘앞,7998
202001,1호선,청량리(서울시립대입구),13997
202001,1호선,제기동,9852
202001,1호선,신설동,6589
202001,1호선,동대문,9558
202001,1호선,종로5가,11939
202001,1호선,종로3가,15108
202001,2호선,용두(동대문구청),1156
202001,2호선,신정네거리,4549
202001,2호선,양천구청,2916
202001,2호선,도림천,380
202001,2호선,신설동,1988
202001,2호선,신답,710
202001,2호선,용답,1643
202001,2호선,충정로(경기대입구),3739
202001,2호선,아현,4575
202001,2호선,이대,9724
202001,2호선,신촌,23862
202001,2호선,홍대입구,61962
202001,2호선,합정,16707
202001,2호선,당산,8759
202001,2호선,영등포구청,6644
202001,2호선,문래,6303
202001,2호선,신도림,26716
202001,2호선,대림(구로구청),17443
202001,2호선,구로디지털단지,25859
202001,2호선,신대방,14965
202001,2호선,신림,37845
202001,2호선,봉천,11536
202001,2호선,서울대입구(관악구청),25781
202001,2호선,낙성대,14468
202001,2호선,사당,20297
202001,2호선,방배,5875
202001,2호선,서초,4304
202001,2호선,교대(법원.검찰청),10245
202001,2호선,강남,36768
202001,2호선,역삼,10997
202001,2호선,선릉,9965
202001,2호선,삼성(무역센터),23880
202001,2호선,종합운동장,4599
202001,2호선,잠실새내,11150
202001,2호선,잠실(송파구청),48425
202001,2호선,잠실나루,5247
202001,2호선,강변(동서울터미널),25509
202001,2호선,구의(광진구청),10802
202001,2호선,건대입구,29008
202001,2호선,성수,9685
202001,2호선,뚝섬,6277
202001,2호선,한양대,2567
202001,2호선,왕십리(성동구청),8463
202001,2호선,상왕십리,6058
202001,2호선,신당,7796
202001,2호선,동대문역사문화공원,13550
202001,2호선,을지로4가,4033
202001,2호선,을지로3가,8672
202001,2호선,을지로입구,27367
202001,2호선,시청,5943
202001,3호선,오금,2210
202001,3호선,경찰병원,2816
202001,3호선,가락시장,3584
202001,3호선,수서,9114
202001,3호선,일원,3423
202001,3호선,대청,3658
202001,3호선,학여울,625
202001,3호선,대치,4656
202001,3호선,도곡,1802
202001,3호선,매봉,3225
202001,3호선,양재(서초구청),11705
202001,3호선,남부터미널(예술의전당),15123
202001,3호선,교대(법원.검찰청),1977
202001,3호선,고속터미널,34867
202001,3호선,잠원,2355
202001,3호선,신사,13688
202001,3호선,압구정,10110
202001,3호선,옥수,4673
202001,3호선,금호,3735
202001,3호선,약수,5812
202001,3호선,동대입구,6806
202001,3호선,을지로3가,3543
202001,3호선,종로3가,6053
202001,3호선,안국,12378
202001,3호선,경복궁(정부서울청사),13381
202001,3호선,독립문,4020
202001,3호선,무악재,1986
202001,3호선,홍제,8389
202001,3호선,녹번,5275
202001,3호선,불광,10408
202001,3호선,연신내,21007
202001,3호선,구파발,11563
202001,3호선,지축,856
202001,4호선,남태령,439
202001,4호선,사당,11928
202001,4호선,총신대입구(이수),9895
202001,4호선,동작(현충원),1537
202001,4호선,이촌(국립중앙박물관),3238
202001,4호선,신용산,7115
202001,4호선,삼각지,2250
202001,4호선,숙대입구(갈월),5855
202001,4호선,서울역,14194
202001,4호선,회현(남대문시장),10460
202001,4호선,명동,35869
202001,4호선,충무로,11366
202001,4호선,동대문역사문화공원,11770
202001,4호선,동대문,8577
202001,4호선,혜화,24403
202001,4호선,한성대입구(삼선교),6979
202001,4호선,성신여대입구(돈암),11870
202001,4호선,길음,9730
