역명,호선,3월,6월,9월,12월
서울역,1,780839,1073229,844702,801901
시청,1,446643,524974,426557,425986
종각,1,731236,937979,683803,644357
종로3가,1,532725,657555,506907,455737
종로5가,1,475923,592830,494083,464017
동대문,1,252315,333455,281652,248992
신설동,1,311094,382845,319980,308316
제기동,1,373649,453022,471820,398667
청량리,1,454675,563145,528052,468091
동묘앞,1,214967,270441,240870,219147
시청,2,494825,560521,457437,446700
을지로입구,2,824188,1014637,814129,815948
을지로3가,2,438727,525133,416358,407566
을지로4가,2,269721,320256,282382,279977
동대문역사문화공원,2,304739,383083,315766,296877
신당,2,322492,372865,330199,318545
상왕십리,2,288360,347356,297950,292177
왕십리,2,307858,358958,293386,267678
한양대,2,155698,231063,166120,161589
뚝섬,2,490379,550590,474323,449020
성수,2,801903,896162,780163,754468
건대입구,2,879875,1015350,817984,743661
구의,2,531603,608240,511934,511942
강변,2,700071,885664,709117,642734
잠실나루,2,281651,362086,296263,284404
잠실,2,1437705,1708486,1372481,1333540
신천,2,450821,556044,441914,422516
종합운동장,2,154693,207954,166055,155590
삼성,2,1040465,1380698,1044983,1018801
선릉,2,1064997,1275101,1022179,1019924
역삼,2,1139284,1359419,1098314,1080723
강남,2,1909749,2270288,1687506,1561490
교대,2,803943,1002565,797346,759622
서초,2,427390,572846,436675,432900
방배,2,360034,459149,377929,358643
사당,2,895519,1117997,895349,815707
낙성대,2,591175,706685,605250,583554
서울대입구,2,1052281,1257559,1047977,988200
봉천,2,506046,591467,519788,505952
신림,2,1453337,1643368,1420462,1384518
신대방,2,585407,683038,602502,587104
구로디지털단지,2,1338002,1565699,1335156,1308409
대림,2,550335,685113,613278,584193
신도림,2,1025549,1326413,1088487,1035295
문래,2,452150,553093,464444,447692
영등포구청,2,504562,590958,506985,506686
당산,2,499514,592023,489028,458475
합정,2,732256,862370,702586,633479
홍대입구,2,1256673,1409710,1140397,991460
신촌,2,775835,899006,711384,681588
이대,2,251019,322873,271661,261051
아현,2,197253,249720,220654,214687
충정로,2,233858,274100,232777,224690
용답,2,60867,70389,62703,61732
신답,2,41287,47085,40454,40239
신설동,2,78667,90156,78626,76653
도림천,2,27959,34633,31141,32402
양천구청,2,144504,182442,156438,153934
신정네거리,2,208349,260389,228096,224194
용두,2,54466,62437,59917,56523
지축,3,70185,88982,73916,71962
구파발,3,400381,535050,448745,424876
연신내,3,826940,977914,829498,796202
불광,3,394566,478132,414665,396113
녹번,3,261642,329484,297530,300224
홍제,3,363077,443170,380441,370477
무악재,3,85883,105424,89795,88410
독립문,3,152544,199519,168589,160778
경복궁,3,361624,475794,378173,357521
안국,3,391461,515902,400163,365577
종로3가,3,260786,305223,244907,229136
을지로3가,3,233665,280895,223601,216832
충무로,3,,,,
동대입구,3,176523,208722,176055,172091
약수,3,280201,341612,287969,273590
금호,3,168751,202929,174571,170802
옥수,3,201673,259427,220542,204989
압구정,3,698458,867329,744230,713406
신사,3,696721,847150,685454,650930
잠원,3,113208,152022,119628,97520
고속터미널,3,770378,1140650,927076,879206
교대,3,194595,241404,190210,186395
남부터미널,3,615111,780812,645247,622962
양재,3,848307,1068746,872789,850475
매봉,3,228213,285638,239622,244769
도곡,3,104076,141319,115849,112993
대치,3,199620,274507,219571,213611
학여울,3,35141,63191,39064,37023
대청,3,180753,235587,191252,190851
일원,3,174403,233078,197905,196107
수서,3,329849,458886,374213,356061
가락시장,3,185337,238139,204849,192675
경찰병원,3,157976,196414,163895,161992
오금,3,118939,149523,124506,119259
당고개,4,274396,315488,280011,266332
상계,4,405771,473384,410348,403688
노원,4,499288,599784,476070,455675
창동,4,634528,761608,640557,611940
쌍문,4,633345,719870,620294,619534
수유,4,805913,906955,775529,769190
미아,4,334281,396199,342170,334194
미아삼거리,4,624778,743201,629215,618322
길음,4,415410,522521,434219,426094
성신여대입구,4,426267,518768,424416,407875
한성대입구,4,283611,357942,297667,286105
혜화,4,637556,822254,660228,604400
동대문,4,455235,553806,463607,445602
동대문역사문화공원,4,323962,372216,311138,302810
충무로,4,603567,699255,584119,574084
명동,4,387281,495321,396594,383779
회현,4,515441,650085,514401,506576
서울역,4,301875,419132,314456,299056
숙대입구,4,279037,341627,276304,260667
삼각지,4,111124,132997,109556,104512
신용산,4,336136,410922,337927,317811
이촌,4,154343,204874,172805,157587
동작,4,75975,96025,81489,71483
총신대입구,4,461390,570852,475453,443295
사당,4,470678,584296,464728,427952
남태령,4,19300,26512,23496,21671
방화,5,140834,162243,146814,142569
개화산,5,122932,122394,114898,113111
김포공항,5,122120,159358,153484,157342
송정,5,146046,158848,146442,141918
마곡,5,162628,189258,182624,189004
발산,5,404157,467163,409097,391691
우장산,5,287715,345234,308451,297910
화곡,5,598853,639636,592146,592545
까치산,5,637383,682825,645456,628373
신정,5,233761,260538,249780,250554
목동,5,407378,447928,407535,398033
오목교,5,518226,578478,522976,506015
양평,5,160995,171464,158306,163156
영등포구청,5,92855,99842,95059,93878
영등포시장,5,203187,220387,202923,211570
신길,5,90778,94690,90093,95300
여의도,5,562446,614510,545834,542221
여의나루,5,255923,264949,180046,150426
마포,5,305995,343380,308274,301284
공덕,5,313095,354470,311195,305530
애오개,5,149447,167094,148595,142253
충정로,5,94270,116044,100961,102529
서대문,5,375933,413975,365861,382333
광화문,5,647530,772427,618230,618920
종로3가,5,248459,304236,250238,209770
을지로4가,5,129105,141195,133761,133112
동대문역사문화공원역,5,66954,74075,68710,69383
청구,5,80728,87965,85031,81753
신금호,5,134128,153236,141862,138723
행당,5,154303,177057,161798,159152
왕십리,5,112419,123587,113445,107349
마장,5,115519,127120,124203,117936
답십리,5,343628,370986,342193,344620
장한평,5,400056,432049,400792,403968
군자,5,273268,296976,270588,264119
아차산,5,317618,358719,328941,320786
광나루,5,257317,297751,266525,258291
천호,5,412400,476474,419043,403958
강동,5,388682,457032,400348,406606
길동,5,169296,190712,180399,182767
굽은다리,5,182445,210175,196297,198312
명일,5,168729,207719,187542,185411
고덕,5,176680,207803,187814,185070
상일동,5,321308,398166,302101,311503
둔촌동,5,175676,202543,183820,184530
올림픽공원,5,69574,86165,80490,74965
방이,5,150400,175021,153266,149491
오금,5,77414,89814,82223,78159
개롱,5,137805,159786,144991,141834
거여,5,152777,178144,168240,166095
마천,5,117669,133339,133775,134976
응암,6,388101,420076,396012,395492
역촌,6,96534,104933,100430,97024
불광,6,103156,118613,110858,102613
독바위,6,69772,75523,73396,69929
연신내,6,,,,
구산,6,118954,134574,124611,125827
새절,6,265469,297480,275144,268874
증산,6,223712,243643,225598,226160
디지털미디어시티,6,319080,347273,323947,323809
월드컵경기장,6,111351,131799,132238,106210
마포구청,6,273238,297686,278904,281245
망원,6,346211,380644,358061,324612
합정,6,294775,313461,281897,256522
상수,6,217264,227095,193635,172442
광흥창,6,179535,203355,182222,178126
대흥,6,174205,196277,177078,170879
공덕,6,379449,417024,381176,365004
효창공원앞,6,136674,148682,143518,139530
삼각지,6,106003,115548,102057,100613
녹사평,6,120914,106131,108904,95377
이태원,6,296993,209049,217809,193740
한강진,6,196083,205540,193884,169269
버티고개,6,47286,52885,50658,48131
약수,6,80744,87543,79412,78163
청구,6,93206,96982,91292,88967
신당,6,190102,201645,188019,178193
동묘앞,6,184828,204544,192116,189140
창신,6,60749,70881,65075,62753
보문,6,153547,163538,151644,149498
안암,6,213272,260706,216414,197341
고려대,6,158011,183679,169382,160450
월곡,6,247839,270031,246465,245656
상월곡,6,119090,134412,125108,124765
돌곶이,6,193800,214630,177816,179819
석계,6,285964,317183,289210,283041
태릉입구,6,134677,149411,133524,127247
화랑대,6,187995,219703,198171,192901
봉화산,6,189240,204077,189410,187284
장암,7,23536,26859,26307,22148
도봉산,7,253651,280654,261457,247375
수락산,7,294837,322847,298951,290362
마들,7,248633,275891,263814,265457
노원,7,452040,518434,455169,438828
중계,7,272612,320337,288923,288544
하계,7,356233,410238,369185,367876
공릉,7,262004,292957,261367,255373
태릉입구,7,164278,196531,173142,167740
먹골,7,226937,242692,226190,226947
중화,7,245232,262603,248650,247231
상봉,7,370341,396629,368884,363276
면목,7,344569,370858,350460,349082
사가정,7,361610,389051,375649,377845
용마산,7,132576,143245,136568,133087
중곡,7,204213,221244,211142,215376
군자,7,262197,281287,262023,263332
어린이대공원,7,250583,282514,256641,257376
건대입구,7,291161,324574,288756,281259
뚝섬유원지,7,220879,242381,195531,155699
청담,7,469090,528370,465751,461266
강남구청,7,384351,418929,381921,371997
학동,7,548906,585162,538022,536420
논현,7,488254,524416,470448,460239
반포,7,124200,147245,131993,122687
고속터미널,7,267128,329831,289715,286182
내방,7,311023,345817,323707,316282
이수,7,343949,381700,346490,327052
남성,7,228554,255247,239938,235476
숭실대입구,7,249829,306884,269928,264459
상도,7,214747,242060,228745,224373
장승배기,7,214977,239025,220122,214947
신대방삼거리,7,348431,382975,362533,359954
보라매,7,201400,240356,217106,210882
신풍,7,234127,259288,251858,255750
대림,7,150529,198587,203632,184427
남구로,7,363654,390875,390010,386877
가산디지털단지,7,941200,1036810,972113,981172
철산,7,484643,554806,498227,477509
광명사거리,7,520944,564776,545199,518743
천왕,7,197733,229961,225844,228276
온수,7,212893,239034,223223,217778
까치울,7,156409,173639,167223,161709
부천종합운동장,7,93269,94283,90347,91334
춘의,7,206224,208541,214540,216969
신중동,7,311718,331419,313825,305024
부천시청,7,262565,276024,274600,270871
상동,7,284196,303122,287707,274357
삼산체육관,7,89119,99110,94830,92775
굴포천,7,205510,211787,203733,202203
부평구청,7,211239,219540,214430,213274
암사,8,360368,403739,377059,379417
천호,8,427951,468929,402706,395166
강동구청,8,227800,256876,236720,239916
몽촌토성,8,123146,135956,125861,126270
잠실,8,344327,385745,346354,345044
석촌,8,194646,212017,194322,190726
송파,8,174500,205904,181508,172946
가락시장,8,196626,215376,208489,200680
문정,8,463980,498817,466980,471291
장지,8,354127,407656,376703,376767
복정,8,186177,220566,197017,198458
산성,8,117941,136438,156061,154652
남한산성입구,8,260074,308110,279301,282329
단대오거리,8,218595,234961,216748,222652
신흥,8,107839,120392,110327,112995
수진,8,98827,112738,107977,107941
모란,8,73604,89165,82070,76340
개화,9,38696,47704,44484,39974
김포공항,9,171777,268746,238595,225843
공항시장,9,71751,79352,70625,70058
신방화,9,138469,166707,144834,143509
마곡나루,9,219422,260249,226709,219452
양천향교,9,195715,234377,204990,203578
가양,9,422991,509694,433101,426598
증미,9,148924,174444,161079,158209
등촌,9,218560,259616,232021,233812
염창,9,354526,421542,362219,359179
신목동,9,69286,88695,73776,71764
선유도,9,144263,184725,154570,152149
당산,9,372852,461444,381196,365691
국회의사당,9,311348,400355,318468,315132
여의도,9,447553,559423,450865,435728
샛강,9,111439,139351,116014,115171
노량진,9,577859,717281,525017,499967
노들,9,78294,99540,86081,84061
흑석,9,163889,206179,178247,171746
동작,9,33966,44559,31234,28233
구반포,9,54587,74899,59465,58256
신반포,9,52289,73179,61210,61523
고속터미널,9,281079,418872,334465,309015
사평,9,52432,74709,63147,62584
신논현,9,675650,824597,645901,612885
