NO,지역,성별,나이,자동차,대중교통,택시,비용,경험,인지,한정도입,완전도입,가구원수,월소득
1,d,F,3,0,4,1,2,1,2,1,1,1,0
3,d,F,2,0,3,2,1,1,1,1,1,3,0
7,c,M,5,1,4,1,2,0,3,1,1,4,0
8,d,M,4,1,3,1,0,0,2,0,1,2,1
9,d,M,5,1,0,0,NA,0,3,0,0,4,2
10,e,F,4,1,4,2,1,1,1,1,1,3,2
11,b,F,3,0,4,1,1,1,1,1,1,3,1
12,c,F,4,0,3,2,0,0,3,1,0,3,1
13,b,M,5,0,4,1,2,0,1,1,1,2,0
14,c,F,3,0,3,1,2,0,2,1,0,4,2
15,d,M,4,0,4,0,1,0,3,1,1,3,0
16,c,M,5,1,3,1,1,0,3,1,1,3,1
17,e,F,5,0,2,0,0,1,2,0,0,3,1
18,d,F,3,0,0,1,NA,1,1,1,0,3,2
19,e,F,2,0,4,1,2,1,3,1,1,2,1
20,b,F,5,1,1,0,0,0,3,1,0,4,2
21,b,F,3,1,3,0,0,0,2,1,1,1,0
22,b,F,3,0,4,3,1,1,1,1,1,2,1
23,a,F,3,0,4,1,2,1,2,1,1,3,2
25,c,M,5,1,3,0,1,0,2,1,1,4,2
27,b,F,3,0,4,2,1,0,5,1,1,1,1
29,b,F,2,1,4,1,1,0,1,1,1,1,0
31,b,M,3,1,2,2,1,0,1,0,0,4,1
32,b,M,5,1,2,3,0,1,3,1,1,3,2
35,b,F,5,1,3,0,1,0,2,1,0,6,1
37,b,F,3,0,4,1,1,0,2,1,0,4,0
38,a,F,5,0,4,2,1,0,1,1,1,3,1
39,c,M,5,1,2,2,0,0,3,1,1,4,2
40,c,M,4,1,3,1,1,0,1,1,1,4,2
41,d,M,4,1,2,1,0,1,2,1,1,4,0
42,c,M,3,1,3,2,1,0,2,1,1,4,1
43,d,F,4,0,2,0,1,0,1,1,0,2,0
44,e,F,5,0,4,1,2,0,3,0,0,2,1
46,d,M,4,0,1,1,0,0,2,0,0,1,1
47,a,F,2,1,4,2,2,1,1,1,1,5,2
48,d,F,5,1,3,2,1,0,2,1,0,5,2
50,b,M,4,1,3,1,1,1,1,0,1,3,1
51,a,M,2,1,2,4,1,1,2,1,1,4,2
