호선,역번호,역명,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,150,서울역,승차,47463,35637,30467,33290,36989,36283,37620,33193,31074,36224,35634,30668
1,150,서울역,하차,44022,33305,27909,30762,34377,33805,34928,30773,29014,33547,33058,28136
1,151,시청,승차,18060,13989,10710,10790,11791,11877,13475,11411,9948,11600,11959,10279
1,151,시청,하차,17741,13488,10441,10388,11213,11364,12910,10591,9169,10721,10954,9528
1,152,종각,승차,27936,22166,18213,19824,22019,22213,23958,19927,17864,20711,20808,17488
1,152,종각,하차,25960,20683,17049,18583,20455,20830,22585,18646,16890,19663,19450,16240
1,153,종로3가,승차,48091,35769,31595,35063,38775,37111,39733,33708,33128,37127,35294,29140
1,153,종로3가,하차,44363,33309,30053,33537,36935,35501,37806,32191,31186,34990,33155,27417
1,154,종로5가,승차,32053,24532,22494,25688,29641,28507,29847,24665,24850,27259,25878,23207
1,154,종로5가,하차,30834,23592,22017,24730,28625,27477,28762,23715,23745,26533,24911,22546
1,155,동대문,승차,21113,16537,15441,17562,19782,18770,18793,15584,16191,18257,17667,15224
1,155,동대문,하차,21006,15994,15112,17293,19597,18808,18645,15165,15829,17982,17382,14419
1,156,신설동,승차,19580,16531,14558,15467,17067,16975,17755,14422,15080,16408,15250,13695
1,156,신설동,하차,18510,15751,13836,14669,16170,16328,16963,13793,14402,15678,14802,13465
1,157,제기동,승차,35965,25271,22412,25906,27828,26459,27608,23834,27409,28305,27150,22892
1,157,제기동,하차,37001,25948,23067,26690,28458,27061,28605,24909,28787,29208,27952,23592
1,158,청량리,승차,42114,31047,28382,32324,34822,33407,35308,30765,33134,33915,32481,28790
1,158,청량리,하차,41406,30531,28182,31738,34352,32869,34629,29831,32624,33319,31370,27875
1,159,동묘앞,승차,23712,17223,18206,21215,23393,21405,21243,17501,20358,23834,20670,18169
1,159,동묘앞,하차,24032,17988,18488,21443,23988,21538,21487,17613,20479,24069,20958,18221
2,201,시청,승차,10492,8905,8085,8138,8600,8930,9457,7566,7267,7937,8455,7520
2,201,시청,하차,9843,8227,7541,7606,8258,8720,9205,7270,6923,7624,8098,7216
2,202,을지로입구,승차,19552,15759,13534,14289,15138,16564,17393,14438,13579,15083,16125,14479
2,202,을지로입구,하차,18153,15065,13055,13756,14535,15805,16576,13924,13101,14316,15231,13732
2,203,을지로3가,승차,12766,10933,8660,9066,9388,10099,10808,9188,8621,9563,9998,9006
2,203,을지로3가,하차,12474,10756,8747,8912,9367,10102,10687,9034,8613,9447,10030,9138
2,204,을지로4가,승차,11218,9567,9244,10098,10451,10857,10982,9407,9838,10024,10064,9741
2,204,을지로4가,하차,10838,9346,9010,9726,10207,10355,10681,8914,9545,9702,9886,9191
2,205,동대문역사문화공원,승차,10435,8087,7276,7778,8366,8403,8612,7169,7015,8204,7990,7113
2,205,동대문역사문화공원,하차,10505,8241,7201,7831,8457,8447,8530,7074,6947,7943,7729,6950
2,206,신당,승차,14822,12325,11348,12179,13060,12908,13502,11565,12093,12989,12658,11257
