"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소"
"서울꽃동네신내노인요양원","A0001","(노인) 노인요양시설","노인의료복지시설","자치구","최은숙","1126000000","중랑구","서울특별시 중랑구 신내로 194 "
"청운양로원","A0002","(노인) 양로시설","노인주거복지시설","자치구","이종명","1111000000","종로구","서울특별시 종로구 비봉길 76 (구기동)"
"청운노인요양원","A0003","(노인) 노인요양시설","노인의료복지시설","자치구","이종후","1111000000","종로구","서울특별시 종로구 비봉길 76 (구기동)"
"홍파양로원","A0004","(노인) 양로시설","노인주거복지시설","자치구","김우리","1135000000","노원구","서울특별시 노원구 동일로248길 30 (상계동)"
"천사노인요양원","A0007","(노인) 노인요양시설","노인의료복지시설","자치구","김샛별","1150000000","강서구","서울특별시 강서구 강서로45다길 30-22"
"서울특별시립 엘림노인전문요양원","A0016","(노인) 노인요양시설","노인의료복지시설","자치구","한철수","1156000000","영등포구","경기도 군포시 고산로 589"
"혜명양로원","A0019","(노인) 양로시설","노인주거복지시설","자치구","채명석","1154500000","금천구","서울특별시 금천구 금하로29길 36(시흥동)"
"시립고덕양로원","A0098","(노인) 양로시설","노인주거복지시설","자치구","박기아","1174000000","강동구","서울특별시 강동구 고덕로 199(고덕동)"
"노인요양센터 인영실버","A0099","(노인) 노인요양시설","노인의료복지시설","자치구","이희법","1154500000","금천구","서울특별시 금천구 금하로 596-0 "
"동명노인복지센타","A0100","(노인) 노인요양시설","노인의료복지시설","자치구","김병한","1162000000","관악구","서울특별시 관악구 봉천로23라길 15(봉천동)"
"영기노인요양원","A0131","(노인) 노인요양시설","노인의료복지시설","자치구","김원제","1135000000","노원구","서울특별시 노원구 동일로248길 30 (상계동)"
"참사랑데이케어센터","A0166","(노인) 재가노인복지시설","재가노인복지시설","자치구","최신영","1171000000","송파구","서울특별시 송파구 마천로 89"
"은천노인요양센터","A0343","(노인) 노인요양시설","노인의료복지시설","자치구","박애자","1123000000","동대문구","서울특별시 동대문구 장한로27가길 66 (장안동)"
"동작실버센터","A0347","(노인) 노인요양시설","노인의료복지시설","자치구","이재희","1159000000","동작구","서울특별시 동작구 노량진로32길 53 (본동)"
"구립서초노인요양센터","A0368","(노인) 노인요양시설","노인의료복지시설","자치구","나종선","1165000000","서초구","서울특별시 서초구 남부순환로340길 21 (서초동 380-4)"
"구립서초노인요양센터","A0386","(노인) 노인요양시설","노인의료복지시설","자치구","이민정","1165000000","서초구","서울특별시 서초구 남부순환로340길21"
"광림노인전문요양원","A0400","(노인) 노인요양시설","노인의료복지시설","자치구","홍종환","1168000000","강남구","강원 춘천시 서면 경춘로 771-79(서면)"
"성북구립 상월곡실버복지센터","A0495","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","김경회","1129000000","성북구","서울특별시 성북구 화랑로18길 6 (상월곡동)"
